miRNA,drug
hsa-mir-32,5-Fluorouracil
hsa-mir-32,Cisplatin
hsa-mir-32,Doxorubicin (Adriamycin)
hsa-mir-32,Vincristine
hsa-mir-4701,5-Fluorouracil
hsa-mir-4701,Cisplatin
hsa-mir-4701,Doxorubicin (Adriamycin)
hsa-mir-4701,Vincristine
hsa-mir-4728,5-Fluorouracil
hsa-mir-4728,Cisplatin
hsa-mir-4728,Doxorubicin (Adriamycin)
hsa-mir-4728,Vincristine
hsa-mir-4763,5-Fluorouracil
hsa-mir-4763,Cisplatin
hsa-mir-4763,Doxorubicin (Adriamycin)
hsa-mir-4763,Vincristine
hsa-mir-486-1,5-Fluorouracil
hsa-mir-486-1,Cisplatin
hsa-mir-486-1,Doxorubicin (Adriamycin)
hsa-mir-486-1,Vincristine
hsa-mir-501,5-Fluorouracil
hsa-mir-501,Cisplatin
hsa-mir-501,Doxorubicin (Adriamycin)
hsa-mir-501,Vincristine
hsa-mir-532,5-Fluorouracil
hsa-mir-532,Cisplatin
hsa-mir-532,Doxorubicin (Adriamycin)
hsa-mir-532,Vincristine
hsa-mir-615,5-Fluorouracil
hsa-mir-615,Cisplatin
hsa-mir-615,Doxorubicin (Adriamycin)
hsa-mir-615,Vincristine
hsa-mir-766,5-Fluorouracil
hsa-mir-766,Cisplatin
hsa-mir-766,Doxorubicin (Adriamycin)
hsa-mir-766,Vincristine
hsa-mir-877,5-Fluorouracil
hsa-mir-877,Cisplatin
hsa-mir-877,Doxorubicin (Adriamycin)
hsa-mir-877,Vincristine
hsa-mir-195,Doxorubicin (Adriamycin)
hsa-mir-128-1,Doxorubicin (Adriamycin)
hsa-mir-128-1,Etoposide
hsa-mir-125b-1,Bortezomib
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-146a,Cisplatin
hsa-mir-150,Cisplatin
hsa-mir-146a,Afatinib
hsa-mir-146a,Cetuximab
hsa-mir-146a,Erlotinib
hsa-mir-146a,Gefitinib
hsa-let-7c,Docetaxel
hsa-mir-21,Gemcitabine
hsa-mir-143,Oxaliplatin
hsa-mir-223,5-Fluorouracil
hsa-mir-223,5-Fluorouracil
hsa-mir-223,Cisplatin
hsa-mir-223,Cisplatin
hsa-mir-19a,Doxorubicin (Adriamycin)
hsa-mir-19a,Vincristine
hsa-mir-19b-1,Doxorubicin (Adriamycin)
hsa-mir-19b-1,Vincristine
hsa-mir-125b-1,Chemotherapy
hsa-mir-221,AGRO100
hsa-mir-221,Fulvestrant
hsa-mir-222,AGRO100
hsa-mir-222,Fulvestrant
hsa-mir-122,pegIFN/RBV therapy
hsa-mir-16-1,Vincristine
hsa-mir-203a,Imatinib
hsa-mir-142,5-Fluorouracil
hsa-mir-302a,Cisplatin
hsa-mir-200b,Fulvestrant
hsa-mir-200b,Tamoxifen
hsa-mir-200b,Tamoxifen
hsa-mir-200c,Fulvestrant
hsa-mir-200c,Tamoxifen
hsa-mir-200c,Tamoxifen
hsa-mir-155,Paclitaxel
hsa-mir-22,Paclitaxel
hsa-mir-320a,Paclitaxel
hsa-mir-640,Paclitaxel
hsa-mir-9-1,Paclitaxel
hsa-mir-135b,Cisplatin
hsa-mir-181b-1,Temozolomide
hsa-let-7a-1,Cytarabine
hsa-mir-1291,Doxorubicin (Adriamycin)
hsa-mir-181a-2,intensive induction chemotherapy based on cytarabine and idarubicine
hsa-mir-342,Paclitaxel
hsa-mir-363,intensive induction chemotherapy based on cytarabine and idarubicine
hsa-mir-532,intensive induction chemotherapy based on cytarabine and idarubicine
hsa-mir-375,RAWQ01 (Ruthenium)
hsa-mir-106b,Carboplatin
hsa-mir-106b,Paclitaxel
hsa-mir-19a,Carboplatin
hsa-mir-19a,Paclitaxel
hsa-mir-217,Carboplatin
hsa-mir-217,Paclitaxel
hsa-mir-302d,Carboplatin
hsa-mir-302d,Paclitaxel
hsa-mir-483,Carboplatin
hsa-mir-483,Paclitaxel
hsa-mir-484,Carboplatin
hsa-mir-484,Paclitaxel
hsa-mir-491,Carboplatin
hsa-mir-491,Paclitaxel
hsa-mir-592,Carboplatin
hsa-mir-592,Paclitaxel
hsa-mir-642a,Carboplatin
hsa-mir-642a,Paclitaxel
hsa-mir-653,Carboplatin
hsa-mir-653,Paclitaxel
hsa-mir-671,Carboplatin
hsa-mir-671,Paclitaxel
hsa-mir-744,Carboplatin
hsa-mir-744,Paclitaxel
hsa-mir-10a,Cisplatin
hsa-mir-125a,Cisplatin
hsa-mir-132,Cisplatin
hsa-mir-136,Cisplatin
hsa-mir-147a,Cisplatin
hsa-mir-155,Cisplatin
hsa-mir-181d,Cisplatin
hsa-mir-183,Cisplatin
hsa-mir-186,Cisplatin
hsa-mir-195,Cisplatin
hsa-mir-198,Cisplatin
hsa-mir-320a,Cisplatin
hsa-mir-374a,Cisplatin
hsa-mir-375,Cisplatin
hsa-mir-518c,Cisplatin
hsa-mir-541,Cisplatin
hsa-mir-551b,Cisplatin
hsa-mir-601,Cisplatin
hsa-mir-876,Cisplatin
hsa-mir-98,Cisplatin
hsa-mir-214,Doxorubicin (Adriamycin)
hsa-mir-483,Doxorubicin (Adriamycin)
hsa-mir-485,Fludarabine
hsa-mir-129-1,5-Fluorouracil
hsa-mir-26a-1,Paclitaxel
hsa-mir-223,Cisplatin
hsa-mir-223,Doxorubicin (Adriamycin)
hsa-mir-223,Mitomycin C
hsa-mir-125b-1,Dexamethasone
hsa-mir-195,Doxorubicin (Adriamycin)
hsa-mir-200a,Curcumin
hsa-mir-200b,Curcumin
hsa-mir-210,Paclitaxel
hsa-mir-375,Paclitaxel
hsa-mir-10b,5-Fluorouracil
hsa-mir-10b,Cisplatin
hsa-mir-10b,Vincristine
hsa-mir-25,5-Fluorouracil
hsa-mir-25,Cisplatin
hsa-mir-25,Vincristine
hsa-mir-424,5-Fluorouracil
hsa-mir-424,Cisplatin
hsa-mir-424,Vincristine
hsa-mir-494,5-Fluorouracil
hsa-mir-494,Cisplatin
hsa-mir-494,Vincristine
hsa-mir-93,5-Fluorouracil
hsa-mir-93,Cisplatin
hsa-mir-93,Vincristine
hsa-mir-93,5-Fluorouracil
hsa-mir-93,Cisplatin
hsa-mir-93,Vincristine
hsa-mir-181a-2,Mitoxantrone
hsa-mir-17,Temozolomide
hsa-mir-22,Pemetrexed
hsa-mir-320c-1,Gemcitabine
hsa-let-7b,Cisplatin
hsa-mir-200c,Docetaxel
hsa-mir-106a,Paclitaxel
hsa-mir-591,Paclitaxel
hsa-mir-381,5-Fluorouracil
hsa-mir-17,Dasatinib
hsa-mir-17,Imatinib
hsa-mir-17,Nilotinib
hsa-mir-200c,Cisplatin
hsa-mir-21,Cisplatin
hsa-let-7b,Paclitaxel
hsa-mir-1197,Paclitaxel
hsa-mir-1200,Paclitaxel
hsa-mir-124-1,Paclitaxel
hsa-mir-1250,Paclitaxel
hsa-mir-1264,Paclitaxel
hsa-mir-1265,Paclitaxel
hsa-mir-1268a,Paclitaxel
hsa-mir-1277,Paclitaxel
hsa-mir-1291,Paclitaxel
hsa-mir-130a,Paclitaxel
hsa-mir-130b,Paclitaxel
hsa-mir-140,Paclitaxel
hsa-mir-15a,Paclitaxel
hsa-mir-188,Paclitaxel
hsa-mir-193b,Paclitaxel
hsa-mir-195,Paclitaxel
hsa-mir-199a-1,Paclitaxel
hsa-mir-200a,Paclitaxel
hsa-mir-200b,Paclitaxel
hsa-mir-20b,Paclitaxel
hsa-mir-210,Paclitaxel
hsa-mir-2114,Paclitaxel
hsa-mir-214,Paclitaxel
hsa-mir-221,Paclitaxel
hsa-mir-2277,Paclitaxel
hsa-mir-2278,Paclitaxel
hsa-mir-23c,Paclitaxel
hsa-mir-27b,Paclitaxel
hsa-mir-28,Paclitaxel
hsa-mir-296,Paclitaxel
hsa-mir-29c,Paclitaxel
hsa-mir-302b,Paclitaxel
hsa-mir-3065,Paclitaxel
hsa-mir-3074,Paclitaxel
hsa-mir-30a,Paclitaxel
hsa-mir-31,Paclitaxel
hsa-mir-3144,Paclitaxel
hsa-mir-3150b,Paclitaxel
hsa-mir-3153,Paclitaxel
hsa-mir-3161,Paclitaxel
hsa-mir-3163,Paclitaxel
hsa-mir-3164,Paclitaxel
hsa-mir-3167,Paclitaxel
hsa-mir-3168,Paclitaxel
hsa-mir-3173,Paclitaxel
hsa-mir-101-1,Cisplatin
hsa-mir-146b,Cisplatin
hsa-mir-148a,Cisplatin
hsa-mir-155,Cisplatin
hsa-mir-181a-2,Cisplatin
hsa-mir-183,Cisplatin
hsa-mir-185,Cisplatin
hsa-mir-18a,Cisplatin
hsa-mir-194-1,Cisplatin
hsa-mir-199b,Cisplatin
hsa-mir-203a,Cisplatin
hsa-mir-206,Cisplatin
hsa-mir-214,Cisplatin
hsa-mir-22,Cisplatin
hsa-mir-221,Cisplatin
hsa-mir-25,Cisplatin
hsa-mir-27a,Cisplatin
hsa-mir-296,Cisplatin
hsa-mir-297,Cisplatin
hsa-mir-29c,Cisplatin
hsa-mir-339,Cisplatin
hsa-mir-34c,Cisplatin
hsa-mir-362,Cisplatin
hsa-mir-374a,Cisplatin
hsa-mir-382,Cisplatin
hsa-mir-429,Cisplatin
hsa-mir-429,Cisplatin
hsa-mir-455,Cisplatin
hsa-mir-485,Cisplatin
hsa-mir-485,Cisplatin
hsa-mir-519a-1,Cisplatin
hsa-mir-574,Cisplatin
hsa-mir-603,Cisplatin
hsa-mir-610,Cisplatin
hsa-mir-630,Cisplatin
hsa-mir-637,Cisplatin
hsa-mir-659,Cisplatin
hsa-mir-7-1,Cisplatin
hsa-mir-760,Cisplatin
hsa-mir-885,Cisplatin
hsa-mir-920,Cisplatin
hsa-mir-92b,Cisplatin
hsa-mir-98,Cisplatin
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-21,Etoposide
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-503,Cisplatin
hsa-mir-125b-1,Temozolomide
hsa-mir-34a,Sorafenib
hsa-mir-181c,Imatinib
hsa-mir-487a,Mitoxantrone
hsa-mir-335,Prednisolone
hsa-mir-508,5-Fluorouracil
hsa-mir-508,Cisplatin
hsa-mir-508,Doxorubicin (Adriamycin)
hsa-mir-508,Vincristine
hsa-mir-21,5-Fluorouracil
hsa-mir-21,Oxaliplatin
hsa-mir-29a,Gemcitabine
hsa-mir-29a,Cisplatin
hsa-mir-106a,Cisplatin
hsa-mir-433,5-Fluorouracil
hsa-mir-100,Vincristine
hsa-mir-125b-1,Vincristine
hsa-mir-99a,Vincristine
hsa-mir-135b,Erlotinib
hsa-mir-135b,PD-0325901
hsa-mir-139,Erlotinib
hsa-mir-139,PD-0325901
hsa-mir-141,Erlotinib
hsa-mir-141,PD-0325901
hsa-mir-155,Erlotinib
hsa-mir-155,PD-0325901
hsa-mir-200a,Erlotinib
hsa-mir-200a,PD-0325901
hsa-mir-200b,Erlotinib
hsa-mir-200b,PD-0325901
hsa-mir-200c,Erlotinib
hsa-mir-200c,PD-0325901
hsa-mir-429,Erlotinib
hsa-mir-429,PD-0325901
hsa-mir-20a,Cisplatin
hsa-mir-20a,Docetaxel
hsa-mir-223,Doxorubicin (Adriamycin)
hsa-mir-223,Paclitaxel
hsa-mir-106a,Doxorubicin (Adriamycin)
hsa-mir-106a,Vincristine
hsa-mir-137,Doxorubicin (Adriamycin)
hsa-let-7i,Gemcitabine
hsa-mir-100,Gemcitabine
hsa-mir-106a,Gemcitabine
hsa-mir-1246,Gemcitabine
hsa-mir-125a,Gemcitabine
hsa-mir-125b-1,Gemcitabine
hsa-mir-1275,Gemcitabine
hsa-mir-1290,Gemcitabine
hsa-mir-129-1,Gemcitabine
hsa-mir-130a,Gemcitabine
hsa-mir-130b,Gemcitabine
hsa-mir-138-1,Gemcitabine
hsa-mir-151a,Gemcitabine
hsa-mir-15a,Gemcitabine
hsa-mir-16-1,Gemcitabine
hsa-mir-17,Gemcitabine
hsa-mir-18a,Gemcitabine
hsa-mir-18b,Gemcitabine
hsa-mir-194-1,Gemcitabine
hsa-mir-195,Gemcitabine
hsa-mir-19a,Gemcitabine
hsa-mir-19b-1,Gemcitabine
hsa-mir-208a,Gemcitabine
hsa-mir-20a,Gemcitabine
hsa-mir-20b,Gemcitabine
hsa-mir-21,Gemcitabine
hsa-mir-22,Gemcitabine
hsa-mir-221,Gemcitabine
hsa-mir-222,Gemcitabine
hsa-mir-28,Gemcitabine
hsa-mir-29b-1,Gemcitabine
hsa-mir-29c,Gemcitabine
hsa-mir-301a,Gemcitabine
hsa-mir-487b,Gemcitabine
hsa-mir-513a-1,Gemcitabine
hsa-mir-549a,Gemcitabine
hsa-mir-602,Gemcitabine
hsa-mir-665,Gemcitabine
hsa-mir-765,Gemcitabine
hsa-mir-99b,Gemcitabine
hsa-mir-153-1,Cisplatin
hsa-mir-153-1,Oxaliplatin
hsa-mir-200c,Erlotinib
hsa-mir-21,Erlotinib
hsa-mir-133a-1,Cisplatin
hsa-mir-133a-1,Doxorubicin (Adriamycin)
hsa-mir-146a,Paclitaxel
hsa-mir-126,Oxaliplatin
hsa-mir-650,Docetaxel
hsa-mir-196a-1,Docetaxel
hsa-mir-196a-1,Doxorubicin (Adriamycin)
hsa-mir-222,Docetaxel
hsa-mir-222,Doxorubicin (Adriamycin)
hsa-mir-29a,Docetaxel
hsa-mir-29a,Doxorubicin (Adriamycin)
hsa-mir-30a,Docetaxel
hsa-mir-30a,Doxorubicin (Adriamycin)
hsa-mir-149,Docetaxel
hsa-mir-149,Doxorubicin (Adriamycin)
hsa-mir-34a,5-Fluorouracil
hsa-mir-34a,Doxycycline
hsa-mir-27a,5-Fluorouracil
hsa-mir-34a,Erlotinib
hsa-mir-495,Carboplatin
hsa-mir-495,Cisplatin
hsa-mir-495,Oxaliplatin
hsa-mir-200c,5-Fluorouracil
hsa-mir-203a,5-Fluorouracil
hsa-mir-10a,Cisplatin
hsa-mir-10a,Vinorelbine
hsa-mir-125a,Gemcitabine
hsa-mir-130a,Gemcitabine
hsa-mir-195,Gemcitabine
hsa-mir-200c,Gemcitabine
hsa-mir-203a,Gemcitabine
hsa-mir-24-2,Gemcitabine
hsa-mir-25,Gemcitabine
hsa-mir-30a,Gemcitabine
hsa-mir-30c-2,Gemcitabine
hsa-mir-375,Cisplatin
hsa-mir-375,Vinorelbine
hsa-mir-885,Gemcitabine
hsa-mir-29c,Docetaxel
hsa-mir-34a,Cisplatin
hsa-mir-181b-1,Gemcitabine
hsa-mir-9-1,Temozolomide
hsa-mir-205,Cisplatin
hsa-mir-103a-1,Camptothecin
hsa-mir-103a-1,Cisplatin
hsa-mir-103a-1,Etoposide
hsa-mir-103a-1,Olaparib
hsa-mir-107,Camptothecin
hsa-mir-107,Cisplatin
hsa-mir-107,Etoposide
hsa-mir-107,Olaparib
hsa-mir-92b,Cisplatin
hsa-mir-31,Cisplatin
hsa-let-7e,Cisplatin
hsa-mir-23a,Etoposide
hsa-mir-187,Bortezomib
hsa-mir-187,Cisplatin
hsa-mir-187,Cyclophosphamide
hsa-mir-187,Doxorubicin (Adriamycin)
hsa-mir-187,Gemcitabine
hsa-mir-106a,Cisplatin
hsa-mir-21,Chemotherapy
hsa-mir-1-1,Fluoropyrimidine
hsa-mir-27a,Fluoropyrimidine
hsa-let-7a-1,Oxaliplatin
hsa-let-7a-1,Oxaliplatin
hsa-let-7a-2,Oxaliplatin
hsa-let-7c,Oxaliplatin
hsa-let-7d,Oxaliplatin
hsa-let-7e,Oxaliplatin
hsa-let-7e,Oxaliplatin
hsa-let-7i,Oxaliplatin
hsa-mir-1-1,Oxaliplatin
hsa-mir-100,Oxaliplatin
hsa-mir-103a-1,Oxaliplatin
hsa-mir-106a,Oxaliplatin
hsa-mir-106a,Oxaliplatin
hsa-mir-106b,Oxaliplatin
hsa-mir-107,Oxaliplatin
hsa-mir-10a,Oxaliplatin
hsa-mir-10b,Oxaliplatin
hsa-mir-1178,Oxaliplatin
hsa-mir-1179,Oxaliplatin
hsa-mir-1181,Oxaliplatin
hsa-mir-1182,Oxaliplatin
hsa-mir-1182,Oxaliplatin
hsa-mir-1183,Oxaliplatin
hsa-mir-1183,Oxaliplatin
hsa-mir-1183,Oxaliplatin
hsa-mir-1200,Oxaliplatin
hsa-mir-1206,Oxaliplatin
hsa-mir-1207,Oxaliplatin
hsa-mir-122,Oxaliplatin
hsa-mir-122,Oxaliplatin
hsa-mir-122,Oxaliplatin
hsa-mir-1224,Oxaliplatin
hsa-mir-1229,Oxaliplatin
hsa-mir-1229,Oxaliplatin
hsa-mir-1233-1,Oxaliplatin
hsa-mir-1236,Oxaliplatin
hsa-mir-1236,Oxaliplatin
hsa-mir-1238,Oxaliplatin
hsa-mir-1246,Oxaliplatin
hsa-mir-1247,Oxaliplatin
hsa-mir-1250,Oxaliplatin
hsa-mir-1255b-1,Oxaliplatin
hsa-mir-1255b-1,Oxaliplatin
hsa-mir-1257,Oxaliplatin
hsa-mir-1257,Oxaliplatin
hsa-mir-1257,Oxaliplatin
hsa-mir-1258,Oxaliplatin
hsa-mir-1258,Oxaliplatin
hsa-mir-125b-1,Oxaliplatin
hsa-mir-126,Oxaliplatin
hsa-mir-126,Oxaliplatin
hsa-mir-1264,Oxaliplatin
hsa-mir-1264,Oxaliplatin
hsa-mir-1265,Oxaliplatin
hsa-mir-1265,Oxaliplatin
hsa-mir-1267,Oxaliplatin
hsa-mir-1267,Oxaliplatin
hsa-mir-127,Oxaliplatin
hsa-mir-1270,Oxaliplatin
hsa-mir-1270,Oxaliplatin
hsa-mir-1275,Oxaliplatin
hsa-mir-128-1,Oxaliplatin
hsa-mir-128-1,Oxaliplatin
hsa-mir-1281,Oxaliplatin
hsa-mir-1285-1,Oxaliplatin
hsa-mir-1285-1,Oxaliplatin
hsa-mir-1285-1,Oxaliplatin
hsa-mir-1287,Oxaliplatin
hsa-mir-128-1,Oxaliplatin
hsa-mir-129-1,Oxaliplatin
hsa-mir-1290,Oxaliplatin
hsa-mir-1292,Oxaliplatin
hsa-mir-1293,Oxaliplatin
hsa-mir-1293,Oxaliplatin
hsa-mir-1297,Oxaliplatin
hsa-mir-1297,Oxaliplatin
hsa-mir-1299,Oxaliplatin
hsa-mir-1301,Oxaliplatin
hsa-mir-1303,Oxaliplatin
hsa-mir-1303,Oxaliplatin
hsa-mir-1304,Oxaliplatin
hsa-mir-1306,Oxaliplatin
hsa-mir-1306,Oxaliplatin
hsa-mir-130a,Oxaliplatin
hsa-mir-130a,Oxaliplatin
hsa-mir-1321,Oxaliplatin
hsa-mir-1323,Oxaliplatin
hsa-mir-135a-1,Oxaliplatin
hsa-mir-138-1,Oxaliplatin
hsa-mir-142,Oxaliplatin
hsa-mir-1468,Oxaliplatin
hsa-mir-1468,Oxaliplatin
hsa-mir-147a,Oxaliplatin
hsa-mir-147a,Oxaliplatin
hsa-mir-150,Oxaliplatin
hsa-mir-151a,Oxaliplatin
hsa-mir-153-2,Oxaliplatin
hsa-mir-155,Oxaliplatin
hsa-mir-15a,Oxaliplatin
hsa-mir-15b,Oxaliplatin
hsa-mir-16-1,Oxaliplatin
hsa-mir-16-2,Oxaliplatin
hsa-mir-17,Oxaliplatin
hsa-mir-17,Oxaliplatin
hsa-mir-181a-2,Oxaliplatin
hsa-mir-181a-2,Oxaliplatin
hsa-mir-181a-2,Oxaliplatin
hsa-mir-181b-1,Oxaliplatin
hsa-mir-181d,Oxaliplatin
hsa-mir-182,Oxaliplatin
hsa-mir-182,Oxaliplatin
hsa-mir-184,Oxaliplatin
hsa-mir-185,Oxaliplatin
hsa-mir-185,Oxaliplatin
hsa-mir-186,Oxaliplatin
hsa-mir-1908,Oxaliplatin
hsa-mir-1908,Oxaliplatin
hsa-mir-191,Oxaliplatin
hsa-mir-191,Oxaliplatin
hsa-mir-1910,Oxaliplatin
hsa-mir-1910,Oxaliplatin
hsa-mir-192,Oxaliplatin
hsa-mir-193a,Oxaliplatin
hsa-mir-193b,Oxaliplatin
hsa-mir-195,Oxaliplatin
hsa-mir-196a-1,Oxaliplatin
hsa-mir-196a-1,Oxaliplatin
hsa-mir-196b,Oxaliplatin
hsa-mir-197,Oxaliplatin
hsa-mir-197,Oxaliplatin
hsa-mir-198,Oxaliplatin
hsa-mir-199b,Oxaliplatin
hsa-mir-200a,Oxaliplatin
hsa-mir-200a,Oxaliplatin
hsa-mir-200a,Oxaliplatin
hsa-mir-200b,Oxaliplatin
hsa-mir-200c,Oxaliplatin
hsa-mir-202,Oxaliplatin
hsa-mir-203a,Oxaliplatin
hsa-mir-205,Oxaliplatin
hsa-mir-205,Oxaliplatin
hsa-mir-206,Oxaliplatin
hsa-mir-206,Oxaliplatin
hsa-mir-20a,Oxaliplatin
hsa-mir-20a,Oxaliplatin
hsa-mir-20b,Oxaliplatin
hsa-mir-20b,Oxaliplatin
hsa-mir-21,Oxaliplatin
hsa-mir-214,Oxaliplatin
hsa-mir-215,Oxaliplatin
hsa-mir-219a-1,Oxaliplatin
hsa-mir-219a-1,Oxaliplatin
hsa-mir-221,Oxaliplatin
hsa-mir-222,Oxaliplatin
hsa-mir-224,Oxaliplatin
hsa-mir-25,Oxaliplatin
hsa-mir-25,Oxaliplatin
hsa-mir-26a-1,Oxaliplatin
hsa-mir-26b,Oxaliplatin
hsa-mir-27a,Oxaliplatin
hsa-mir-29a,Oxaliplatin
hsa-mir-29b-1,Oxaliplatin
hsa-mir-29b-1,Oxaliplatin
hsa-mir-29c,Oxaliplatin
hsa-mir-301a,Oxaliplatin
hsa-mir-30a,Oxaliplatin
hsa-mir-30b,Oxaliplatin
hsa-mir-30b,Oxaliplatin
hsa-mir-30c-2,Oxaliplatin
hsa-mir-30c-2,Oxaliplatin
hsa-mir-30d,Oxaliplatin
hsa-mir-30e,Oxaliplatin
hsa-mir-31,Oxaliplatin
hsa-mir-32,Oxaliplatin
hsa-mir-32,Oxaliplatin
hsa-mir-32,Oxaliplatin
hsa-mir-320a,Oxaliplatin
hsa-mir-320a,Oxaliplatin
hsa-mir-320b-1,Oxaliplatin
hsa-mir-320c-1,Oxaliplatin
hsa-mir-320c-1,Oxaliplatin
hsa-mir-320d-1,Oxaliplatin
hsa-mir-320d-1,Oxaliplatin
hsa-mir-324,Oxaliplatin
hsa-mir-324,Oxaliplatin
hsa-mir-326,Oxaliplatin
hsa-mir-326,Oxaliplatin
hsa-mir-328,Oxaliplatin
hsa-mir-335,Oxaliplatin
hsa-mir-335,Oxaliplatin
hsa-mir-339,Oxaliplatin
hsa-mir-33b,Oxaliplatin
hsa-mir-33b,Oxaliplatin
hsa-mir-33b,Oxaliplatin
hsa-mir-342,Oxaliplatin
hsa-mir-342,Oxaliplatin
hsa-mir-345,Oxaliplatin
hsa-mir-34a,Oxaliplatin
hsa-mir-34a,Oxaliplatin
hsa-mir-34b,Oxaliplatin
hsa-mir-34b,Oxaliplatin
hsa-mir-34c,Oxaliplatin
hsa-mir-361,Oxaliplatin
hsa-mir-361,Oxaliplatin
hsa-mir-362,Oxaliplatin
hsa-mir-363,Oxaliplatin
hsa-mir-365a,Oxaliplatin
hsa-mir-371a,Oxaliplatin
hsa-mir-373,Oxaliplatin
hsa-mir-375,Oxaliplatin
hsa-mir-375,Oxaliplatin
hsa-mir-382,Oxaliplatin
hsa-mir-382,Oxaliplatin
hsa-mir-383,Oxaliplatin
hsa-mir-383,Oxaliplatin
hsa-mir-412,Oxaliplatin
hsa-mir-412,Oxaliplatin
hsa-mir-421,Oxaliplatin
hsa-mir-421,Oxaliplatin
hsa-mir-423,Oxaliplatin
hsa-mir-425,Oxaliplatin
hsa-mir-429,Oxaliplatin
hsa-mir-429,Oxaliplatin
hsa-mir-433,Oxaliplatin
hsa-mir-449b,Oxaliplatin
hsa-mir-449b,Oxaliplatin
hsa-mir-450a-2,Oxaliplatin
hsa-mir-483,Oxaliplatin
hsa-mir-483,Oxaliplatin
hsa-mir-494,Oxaliplatin
hsa-mir-499a,Oxaliplatin
hsa-mir-502,Oxaliplatin
hsa-mir-504,Oxaliplatin
hsa-mir-504,Oxaliplatin
hsa-mir-541,Oxaliplatin
hsa-mir-541,Oxaliplatin
hsa-mir-548a-1,Oxaliplatin
hsa-mir-548a-2,Oxaliplatin
hsa-mir-548a-2,Oxaliplatin
hsa-mir-548h-2,Oxaliplatin
hsa-mir-548m,Oxaliplatin
hsa-mir-550a-1,Oxaliplatin
hsa-mir-550a-1,Oxaliplatin
hsa-mir-557,Oxaliplatin
hsa-mir-558,Oxaliplatin
hsa-mir-558,Oxaliplatin
hsa-mir-561,Oxaliplatin
hsa-mir-572,Oxaliplatin
hsa-mir-576,Oxaliplatin
hsa-mir-576,Oxaliplatin
hsa-mir-581,Oxaliplatin
hsa-mir-584,Oxaliplatin
hsa-mir-584,Oxaliplatin
hsa-mir-585,Oxaliplatin
hsa-mir-585,Oxaliplatin
hsa-mir-587,Oxaliplatin
hsa-mir-591,Oxaliplatin
hsa-mir-593,Oxaliplatin
hsa-mir-595,Oxaliplatin
hsa-mir-595,Oxaliplatin
hsa-mir-595,Oxaliplatin
hsa-mir-598,Oxaliplatin
hsa-mir-601,Oxaliplatin
hsa-mir-601,Oxaliplatin
hsa-mir-602,Oxaliplatin
hsa-mir-603,Oxaliplatin
hsa-mir-609,Oxaliplatin
hsa-mir-609,Oxaliplatin
hsa-mir-609,Oxaliplatin
hsa-mir-611,Oxaliplatin
hsa-mir-613,Oxaliplatin
hsa-mir-613,Oxaliplatin
hsa-mir-616,Oxaliplatin
hsa-mir-619,Oxaliplatin
hsa-mir-619,Oxaliplatin
hsa-mir-625,Oxaliplatin
hsa-mir-627,Oxaliplatin
hsa-mir-631,Oxaliplatin
hsa-mir-634,Oxaliplatin
hsa-mir-639,Oxaliplatin
hsa-mir-657,Oxaliplatin
hsa-mir-657,Oxaliplatin
hsa-mir-657,Oxaliplatin
hsa-mir-658,Oxaliplatin
hsa-mir-660,Oxaliplatin
hsa-mir-661,Oxaliplatin
hsa-mir-661,Oxaliplatin
hsa-mir-663a,Oxaliplatin
hsa-mir-663b,Oxaliplatin
hsa-mir-664a,Oxaliplatin
hsa-mir-664a,Oxaliplatin
hsa-mir-675,Oxaliplatin
hsa-mir-675,Oxaliplatin
hsa-mir-7-1,Oxaliplatin
hsa-mir-7-1,Oxaliplatin
hsa-mir-7-3,Oxaliplatin
hsa-mir-7-3,Oxaliplatin
hsa-mir-760,Oxaliplatin
hsa-mir-765,Oxaliplatin
hsa-mir-765,Oxaliplatin
hsa-mir-766,Oxaliplatin
hsa-mir-769,Oxaliplatin
hsa-mir-770,Oxaliplatin
hsa-mir-770,Oxaliplatin
hsa-mir-876,Oxaliplatin
hsa-mir-876,Oxaliplatin
hsa-mir-877,Oxaliplatin
hsa-mir-877,Oxaliplatin
hsa-mir-877,Oxaliplatin
hsa-mir-885,Oxaliplatin
hsa-mir-9-1,Oxaliplatin
hsa-mir-92a-1,Oxaliplatin
hsa-mir-92b,Oxaliplatin
hsa-mir-92b,Oxaliplatin
hsa-mir-92b,Oxaliplatin
hsa-mir-93,Oxaliplatin
hsa-mir-93,Oxaliplatin
hsa-mir-93,Oxaliplatin
hsa-mir-935,Oxaliplatin
hsa-mir-936,Oxaliplatin
hsa-mir-936,Oxaliplatin
hsa-mir-940,Oxaliplatin
hsa-mir-99a,Oxaliplatin
hsa-mir-99b,Oxaliplatin
hsa-mir-130a,Cisplatin
hsa-let-7a-1,Gemcitabine
hsa-let-7f-2,Gemcitabine
hsa-mir-141,Gemcitabine
hsa-mir-143,Gemcitabine
hsa-mir-200a,Gemcitabine
hsa-mir-200b,Gemcitabine
hsa-mir-200c,Gemcitabine
hsa-mir-205,Gemcitabine
hsa-mir-221,Gemcitabine
hsa-mir-222,Gemcitabine
hsa-mir-29b-1,Gemcitabine
